time,homeplayer,awayplayer,homescore,awayscore,set1homescore,set1awayscore,set2homescore,set2awayscore,set3homescore,set3awayscore,set4homescore,set4awayscore,set5homescore,set5awayscore,nset
28.02.2020,Djokovic N.,Monfils G.,2,1,2,6,7,10,6,8,6,1,0,0,5
27.02.2020,Djokovic N.,Khachanov K.,2,0,6,2,6,2,0,0,0,0,0,0,3
26.02.2020,Djokovic N.,Kohlschreiber P.,2,0,6,3,6,1,0,0,0,0,0,0,3
02.02.2020,Thiem D.,Djokovic N.,2,3,4,6,6,4,6,2,3,6,4,6,5
30.01.2020,Federer R.,Djokovic N.,0,3,6,1,7,7,4,6,3,6,0,0,5
28.01.2020,Raonic M.,Djokovic N.,0,3,4,6,3,6,6,1,7,7,0,0,5
26.01.2020,Schwartzman D.,Djokovic N.,0,3,3,6,4,6,4,6,0,0,0,0,5
24.01.2020,Nishioka Y.,Djokovic N.,0,3,3,6,2,6,2,6,0,0,0,0,5
22.01.2020,Ito T.,Djokovic N.,0,3,1,6,4,6,2,6,0,0,0,0,5
12.01.2020,Djokovic N.,Nadal R.,2,0,6,2,7,7,6,4,0,0,0,0,5
11.01.2020,Djokovic N.,Medvedev D.,2,1,6,1,5,7,6,4,0,0,0,0,5
08.01.2020,Djokovic N.,Garin C.,2,0,6,3,6,3,0,0,0,0,0,0,3
06.01.2020,Djokovic N.,Monfils G.,2,0,6,3,6,2,0,0,0,0,0,0,3
21.12.2019,Djokovic N.,Khachanov K.,2,0,7,5,6,3,0,0,0,0,0,0,3
21.11.2019,Paire B.,Djokovic N.,0,2,3,6,3,6,0,0,0,0,0,0,3
14.11.2019,Djokovic N.,Federer R.,0,2,4,6,3,6,0,0,0,0,0,0,3
12.11.2019,Djokovic N.,Thiem D.,1,2,7,7,6,5,3,6,6,5,7,7,5
03.11.2019,Djokovic N.,Shapovalov D.,2,0,6,3,6,4,0,0,0,0,0,0,3
02.11.2019,Djokovic N.,Dimitrov G.,2,0,7,7,6,5,6,4,0,0,0,0,5
01.11.2019,Djokovic N.,Tsitsipas S.,2,0,6,1,6,2,0,0,0,0,0,0,3
31.10.2019,Djokovic N.,Edmund K.,2,0,7,9,6,7,6,1,0,0,0,0,5
11.10.2019,Djokovic N.,Tsitsipas S.,1,2,6,3,5,7,3,6,0,0,0,0,5
10.10.2019,Djokovic N.,Isner J.,2,0,7,5,6,3,0,0,0,0,0,0,3
06.10.2019,Djokovic N.,Millman J.,2,0,6,3,6,2,0,0,0,0,0,0,3
05.10.2019,Djokovic N.,Goffin D.,2,0,6,3,6,4,0,0,0,0,0,0,3
04.10.2019,Djokovic N.,Pouille L.,2,0,6,1,6,2,0,0,0,0,0,0,3
02.10.2019,Djokovic N.,Soeda G.,2,0,6,3,7,5,0,0,0,0,0,0,3
02.09.2019,Djokovic N.,Wawrinka S.,0,2,4,6,5,7,1,2,0,0,0,0,5
31.08.2019,Djokovic N.,Kudla D.,3,0,6,3,6,4,6,2,0,0,0,0,5
29.08.2019,Djokovic N.,Londero J. I.,3,0,6,4,7,7,6,3,6,1,0,0,5
18.08.2019,Djokovic N.,Medvedev D.,1,2,6,3,3,6,3,6,0,0,0,0,5
17.08.2019,Djokovic N.,Pouille L.,2,0,7,7,6,2,6,1,0,0,0,0,5
16.08.2019,Djokovic N.,Carreno-Busta P.,2,0,6,3,6,4,0,0,0,0,0,0,3
14.07.2019,Djokovic N.,Federer R.,3,2,7,7,6,5,1,6,7,7,6,4,5
12.07.2019,Djokovic N.,Bautista R.,3,1,6,2,4,6,6,3,6,2,0,0,5
10.07.2019,Djokovic N.,Goffin D.,3,0,6,4,6,0,6,2,0,0,0,0,5
08.07.2019,Djokovic N.,Humbert U.,3,0,6,3,6,2,6,3,0,0,0,0,5
05.07.2019,Djokovic N.,Hurkacz H.,3,1,7,5,6,5,7,7,6,1,6,4,5
03.07.2019,Djokovic N.,Kudla D.,3,0,6,3,6,2,6,2,0,0,0,0,5
26.06.2019,Djokovic N.,Shapovalov D.,0,2,6,3,7,7,4,6,0,0,0,0,5
08.06.2019,Djokovic N.,Thiem D.,2,3,2,6,6,3,5,7,7,5,5,7,5
06.06.2019,Djokovic N.,Zverev A.,3,0,7,5,6,2,6,2,0,0,0,0,5
03.06.2019,Djokovic N.,Struff J-L.,3,0,6,3,6,2,6,2,0,0,0,0,5
01.06.2019,Djokovic N.,Caruso S.,3,0,6,3,6,3,6,2,0,0,0,0,5
30.05.2019,Djokovic N.,Laaksonen H.,3,0,6,1,6,4,6,3,0,0,0,0,5
19.05.2019,Djokovic N.,Nadal R.,1,2,0,6,6,4,1,6,0,0,0,0,5
18.05.2019,Djokovic N.,Schwartzman D.,2,1,6,3,6,2,7,7,6,3,0,0,5
17.05.2019,Djokovic N.,Del Potro J.,2,1,4,6,7,8,6,6,6,4,0,0,5
16.05.2019,Djokovic N.,Kohlschreiber P.,2,0,6,3,6,0,0,0,0,0,0,0,3
12.05.2019,Djokovic N.,Tsitsipas S.,2,0,6,3,6,4,0,0,0,0,0,0,3
11.05.2019,Djokovic N.,Thiem D.,2,0,7,7,6,2,7,7,6,4,0,0,5
10.05.2019,Djokovic N.,Cilic M.,-,-,0,0,0,0,0,0,0,0,0,0,3
09.05.2019,Djokovic N.,Chardy J.,2,0,6,1,7,7,6,2,0,0,0,0,5
19.04.2019,Djokovic N.,Medvedev D.,1,2,3,6,6,4,2,6,0,0,0,0,5
18.04.2019,Djokovic N.,Fritz T.,2,0,6,3,6,0,0,0,0,0,0,0,3
26.03.2019,Djokovic N.,Bautista R.,1,2,6,1,5,7,3,6,0,0,0,0,5
24.03.2019,Djokovic N.,Delbonis F.,2,1,7,5,4,6,6,1,0,0,0,0,5
12.03.2019,Djokovic N.,Kohlschreiber P.,0,2,4,6,4,6,0,0,0,0,0,0,3
27.01.2019,Djokovic N.,Nadal R.,3,0,6,3,6,2,6,3,0,0,0,0,5
25.01.2019,Djokovic N.,Pouille L.,3,0,6,0,6,2,6,2,0,0,0,0,5
23.01.2019,Djokovic N.,Nishikori K.,1,0,6,1,4,1,0,0,0,0,0,0,3
21.01.2019,Djokovic N.,Medvedev D.,3,1,6,4,6,5,7,7,6,2,6,3,5
19.01.2019,Djokovic N.,Shapovalov D.,3,1,6,3,6,4,4,6,6,0,0,0,5
17.01.2019,Djokovic N.,Tsonga J-W.,3,0,6,3,7,5,6,4,0,0,0,0,5
04.01.2019,Djokovic N.,Bautista R.,1,2,6,3,6,6,7,8,4,6,0,0,5
03.01.2019,Djokovic N.,Basilashvili N.,2,1,4,6,6,3,6,4,0,0,0,0,5
02.01.2019,Djokovic N.,Fucsovics M.,2,1,4,6,6,4,6,1,0,0,0,0,5
29.12.2018,Anderson K.,Djokovic N.,1,2,6,4,5,7,5,7,0,0,0,0,5
18.11.2018,Djokovic N.,Zverev A.,0,2,4,6,3,6,0,0,0,0,0,0,3
16.11.2018,Djokovic N.,Cilic M.,2,0,7,9,6,7,6,2,0,0,0,0,5
14.11.2018,Djokovic N.,Zverev A.,2,0,6,4,6,1,0,0,0,0,0,0,3
04.11.2018,Khachanov K.,Djokovic N.,2,0,7,5,6,4,0,0,0,0,0,0,3
03.11.2018,Federer R.,Djokovic N.,1,2,6,6,7,8,7,5,6,3,7,7,5
02.11.2018,Cilic M.,Djokovic N.,1,2,6,4,2,6,3,6,0,0,0,0,5
